Column,Pclass,Sex,Age,SibSp,Parch,Country,Boarded,Lifeboat,survived
164,3,male,1,4,1,Finland,Southampton,,0
165,3,male,9,0,2,United Kingdom,Southampton,C,1
166,1,female,,0,1,United Kingdom,Southampton,6,1
167,3,female,45,1,4,Sweden,Southampton,,0
168,1,male,,0,0,United States of America,Cherbourg,,0
169,3,male,28,0,0,China,Southampton,,0
170,1,male,61,0,0,United States of America,Belfast,,0
171,3,male,4,4,1,Ireland,Queenstown,,0
172,3,female,1,1,1,United States of America,Southampton,15,1
173,3,male,21,0,0,United States of America,Southampton,,0
174,1,male,56,0,0,France,Cherbourg,,0
175,3,male,18,1,1,Sweden,Southampton,,0
176,3,male,,3,1,France,Southampton,,0
177,1,female,50,0,0,United States of America,Cherbourg,,0
178,2,male,30,0,0,United States of America,Southampton,,0
179,3,male,36,0,0,United States of America,Southampton,,0
180,3,female,,8,2,United Kingdom,Southampton,,0
181,2,male,,0,0,France,Cherbourg,,0
182,3,male,9,4,2,Sweden,Southampton,,0
183,2,male,1,2,1,India,Southampton,11,1
184,3,female,4,0,2,Switzerland,Southampton,2,1
185,1,male,,0,0,United States of America,Southampton,,0
186,3,female,,1,0,Ireland,Queenstown,,1
187,1,male,45,0,0,United States of America,Southampton,9,1
188,3,male,40,1,1,Ireland,Queenstown,,0
189,3,male,36,0,0,Croatia,Southampton,,0
190,2,female,32,0,0,United States of America,Southampton,9,1
191,2,male,19,0,0,United Kingdom,Southampton,,0
192,3,female,19,1,0,Denmark,Southampton,16,1
193,2,male,3,1,1,France,Southampton,D,1
194,1,female,44,0,0,United States of America,Cherbourg,6,1
195,1,female,58,0,0,United States of America,Cherbourg,6,1
196,3,male,,0,0,Ireland,Queenstown,,0
197,3,male,42,0,1,Norway,Southampton,,0
198,3,female,,0,0,Ireland,Queenstown,15,1
199,2,female,24,0,0,France,Southampton,,0
200,3,male,28,0,0,Belgium,Southampton,,0
201,3,male,,8,2,United Kingdom,Southampton,,0
202,3,male,34,0,0,Finland,Southampton,,0
203,3,male,45,0,0,Lebanon,Cherbourg,,0
204,3,male,18,0,0,United Kingdom,Southampton,12,1
205,3,female,2,0,1,United States of America,Southampton,,0
206,3,male,32,1,0,Finland,Southampton,,0
207,3,male,26,0,0,United States of America,Cherbourg,15,1
208,3,female,16,0,0,Ireland,Queenstown,16,1
209,1,male,40,0,0,United States of America,Cherbourg,7,1
210,3,male,24,0,0,Argentina,Southampton,,0
211,2,female,35,0,0,United Kingdom,Southampton,14,1
212,3,male,22,0,0,United Kingdom,Southampton,,0
213,2,male,30,0,0,Denmark,Southampton,,0
214,3,male,,1,0,Ireland,Queenstown,,0
215,1,female,31,1,0,United States of America,Cherbourg,6,1
216,3,female,27,0,0,Finland,Southampton,,1
217,2,male,42,1,0,United Kingdom,Southampton,,0
218,1,female,32,0,0,United States of America,Cherbourg,8,1
219,2,male,30,0,0,United Kingdom,Southampton,,0
220,3,male,16,0,0,United Kingdom,Southampton,B,1
221,2,male,27,0,0,United States of America,Southampton,,0
222,3,male,51,0,0,United Kingdom,Southampton,,0
223,3,male,,0,0,Bulgaria,Southampton,,0
224,1,male,38,1,0,United States of America,Southampton,D,1
225,3,male,22,0,0,Finland,Southampton,,0
226,2,male,19,0,0,United Kingdom,Southampton,B,1
227,3,male,20,0,0,United Kingdom,Southampton,,0
228,2,male,18,0,0,Norway,Southampton,,0
229,3,female,,3,1,France,Southampton,,0
230,1,female,35,1,0,United States of America,Southampton,D,1
231,3,male,29,0,0,Sweden,Southampton,,0
232,2,male,59,0,0,Sweden,Southampton,10,0
233,3,female,5,4,2,Sweden,Southampton,15,1
234,2,male,24,0,0,United Kingdom,Southampton,,0
235,3,female,,0,0,United Kingdom,Southampton,,0
236,2,male,44,1,0,United Kingdom,Southampton,,0
237,2,female,8,0,2,United Kingdom,Southampton,14,1
238,2,male,19,0,0,United Kingdom,Southampton,,0
239,2,male,33,0,0,United States of America,Southampton,,0
240,3,female,,1,0,Syria,Cherbourg,,0
241,3,female,,1,0,Ireland,Queenstown,16,1
242,2,male,29,0,0,United Kingdom,Southampton,,0
243,3,male,22,0,0,Finland,Southampton,,0
244,3,male,30,0,0,Canada,Cherbourg,,0
245,1,male,44,2,0,United States of America,Southampton,,0
246,3,female,25,0,0,Sweden,Southampton,,0
247,2,female,24,0,2,United States of America,Southampton,4,1
248,1,male,37,1,1,United States of America,Southampton,5,1
249,2,male,54,1,0,United Kingdom,Southampton,,0
250,3,male,,0,0,Wales,Southampton,,0
251,3,female,29,1,1,United States of America,Southampton,,0
252,1,male,62,0,0,United Kingdom,Southampton,,0
253,3,male,30,1,0,United States of America,Southampton,,0
254,3,female,41,0,2,Finland,Southampton,,0
255,3,female,29,0,2,Lebanon,Cherbourg,C,1
256,1,female,,0,0,United States of America,Cherbourg,D,1
257,1,female,30,0,0,United Kingdom,Southampton,8,1
258,1,female,35,0,0,United States of America,Cherbourg,3,1
259,2,female,50,0,1,United States of America,Southampton,12,1
260,3,male,,0,0,Ireland,Queenstown,,0
261,3,male,3,4,2,Sweden,Southampton,15,1
262,1,male,52,1,1,United States of America,Southampton,,0
263,1,male,40,0,0,United Kingdom,Southampton,,0
264,3,female,,0,0,Ireland,Queenstown,,0
265,2,male,36,0,0,United Kingdom,Southampton,,0
266,3,male,16,4,1,Finland,Southampton,,0
267,3,male,25,1,0,Sweden,Southampton,15,1
268,1,female,58,0,1,United States of America,Southampton,3,1
269,1,female,35,0,0,United States of America,Cherbourg,8,1
270,1,male,,0,0,United States of America,Southampton,,0
271,3,male,25,0,0,Sweden,Southampton,15,1
272,2,female,41,0,1,United Kingdom,Southampton,14,1
273,1,male,37,0,1,United States of America,Cherbourg,,0
274,3,female,,0,0,Ireland,Queenstown,16,1
275,1,female,63,1,0,United States of America,Cherbourg,10,1
276,3,female,45,0,0,Sweden,Southampton,,0
277,2,male,,0,0,Ireland,Belfast,,0
278,3,male,7,4,1,Ireland,Queenstown,,0
279,3,female,35,1,1,United States of America,Southampton,A,1
280,3,male,65,0,0,Ireland,Queenstown,,0
281,3,male,28,0,0,Sweden,Southampton,,0
282,3,male,16,0,0,Belgium,Southampton,,0
283,3,male,19,0,0,United Kingdom,Southampton,B,1
284,1,male,,0,0,United Kingdom,Southampton,,0
285,3,male,33,0,0,Croatia,Cherbourg,,0
286,3,male,30,0,0,Belgium,Southampton,11,1
287,3,male,22,0,0,Bulgaria,Southampton,,0
288,2,male,42,0,0,Japan,Southampton,10,1
289,3,female,22,0,0,Ireland,Queenstown,13,1
289,3,female,22,0,0,Ireland,Queenstown,13,0
290,1,female,26,0,0,United Kingdom,Southampton,6,1
291,1,female,19,1,0,United States of America,Cherbourg,7,1
292,2,male,36,0,0,Canada,Cherbourg,,0
293,3,female,24,0,0,Switzerland,Southampton,,0
294,3,male,24,0,0,Bulgaria,Southampton,,0
295,1,male,,0,0,United States of America,Cherbourg,,0
296,3,male,23,0,0,Syria,Cherbourg,,0
297,1,female,2,1,2,Canada,Southampton,,0
298,1,male,,0,0,United Kingdom,Southampton,3,1
299,1,female,50,0,1,Canada,Cherbourg,6,1
300,3,female,,0,0,Ireland,Queenstown,16,1
301,3,male,,2,0,Ireland,Queenstown,16,1
302,3,male,19,0,0,United States of America,Southampton,,0
303,2,female,,0,0,Ireland,Queenstown,10,1
304,3,male,,0,0,United Kingdom,Southampton,,0
305,1,male,1,1,2,Canada,Southampton,11,1
306,1,female,,0,0,United States of America,Cherbourg,4,1
307,1,female,17,1,0,Spain,Cherbourg,8,1
308,2,male,30,1,0,Russia,Cherbourg,,0
309,1,female,30,0,0,United Kingdom,Cherbourg,1,1
310,1,female,24,0,0,United States of America,Cherbourg,7,1
311,1,female,18,2,2,United States of America,Cherbourg,4,1
312,2,female,26,1,1,United States of America,Southampton,,0
313,3,male,28,0,0,Croatia,Southampton,,0
314,2,male,43,1,1,United Kingdom,Southampton,,0
315,3,female,26,0,0,Sweden,Southampton,13,1
316,2,female,24,1,0,Russia,Southampton,12,1
317,2,male,54,0,0,United States of America,Southampton,,0
318,1,female,31,0,2,United States of America,Southampton,8,1
319,1,female,40,1,1,United States of America,Cherbourg,3,1
320,3,male,22,0,0,United Kingdom,Southampton,,0
321,3,male,27,0,0,Bulgaria,Southampton,,0
322,2,female,30,0,0,Canada,Queenstown,13,1
323,2,female,22,1,1,Thailand,Southampton,13,1
324,3,male,,8,2,United Kingdom,Southampton,,0
325,1,female,36,0,0,United States of America,Cherbourg,8,1
326,3,male,61,0,0,Norway,Southampton,,0
327,2,female,36,0,0,United Kingdom,Southampton,10,1
328,3,female,31,1,1,United Kingdom,Southampton,C,1
329,1,female,16,0,1,United States of America,Cherbourg,4,1
330,3,female,,2,0,Ireland,Queenstown,16,1
331,1,male,45,0,0,United Kingdom,Southampton,,0
332,1,male,38,0,1,Canada,Southampton,,0
333,3,male,16,2,0,Belgium,Southampton,,0
334,1,female,,1,0,United Kingdom,Southampton,5,1
335,3,male,,0,0,Bulgaria,Southampton,,0
336,1,male,29,1,0,United Kingdom,Southampton,,0
337,1,female,41,0,0,United States of America,Cherbourg,3,1
338,3,male,45,0,0,Australia,Southampton,15,1
339,1,male,45,0,0,United States of America,Southampton,,0
340,2,male,2,1,1,France,Southampton,D,1
341,1,female,24,3,2,Canada,Southampton,10,1
342,2,male,28,0,0,Finland,Southampton,,0
343,2,male,25,0,0,United Kingdom,Southampton,,0
344,2,male,36,0,0,United States of America,Southampton,,0
345,2,female,24,0,0,United Kingdom,Southampton,11,1
346,2,female,40,0,0,United Kingdom,Southampton,9,1
348,3,male,3,1,1,United Kingdom,Southampton,2,1
349,3,male,42,0,0,Croatia,Southampton,,0
350,3,male,23,0,0,Sweden,Southampton,,0
351,1,male,,0,0,United Kingdom,Southampton,,0
352,3,male,15,1,1,Lebanon,Cherbourg,,0
353,3,male,25,1,0,Switzerland,Southampton,,0
354,3,male,,0,0,Lebanon,Cherbourg,,0
355,3,male,28,0,0,Belgium,Southampton,,0
356,1,female,22,0,1,United Kingdom,Southampton,6,1
357,2,female,38,0,0,United Kingdom,Southampton,,0
358,3,female,,0,0,Ireland,Queenstown,13,1
359,3,female,,0,0,Ireland,Queenstown,16,1
360,3,male,40,1,4,Sweden,Southampton,,0
361,2,male,29,1,0,Italy,Cherbourg,,0
362,3,female,45,0,1,Lebanon,Cherbourg,,0
363,3,male,35,0,0,Argentina,Southampton,,0
364,3,male,,1,0,Ireland,Queenstown,,0
365,3,male,30,0,0,Sweden,Southampton,,0
366,1,female,60,1,0,United States of America,Cherbourg,5,1
367,3,female,,0,0,Lebanon,Cherbourg,,1
368,3,female,,0,0,Ireland,Queenstown,D,1
369,1,female,24,0,0,France,Cherbourg,9,1
370,1,male,25,1,0,United States of America,Cherbourg,5,1
371,3,male,18,1,0,Finland,Southampton,,0
372,3,male,19,0,0,United Kingdom,Southampton,,0
373,1,male,22,0,0,United States of America,Cherbourg,,0
374,3,female,3,3,1,Sweden,Southampton,,0
375,1,female,,1,0,United States of America,Cherbourg,6,1
376,3,female,22,0,0,Sweden,Southampton,13,1
377,1,male,27,0,2,United States of America,Southampton,,0
378,3,male,20,0,0,Lebanon,Cherbourg,,0
379,3,male,19,0,0,Sweden,Southampton,,0
380,1,female,42,0,0,United States of America,Cherbourg,4,1
381,3,female,1,0,2,Lebanon,Cherbourg,C,1
382,3,male,32,0,0,Finland,Southampton,,0
383,1,female,35,1,0,United States of America,Southampton,8,1
384,3,male,,0,0,Bulgaria,Southampton,,0
385,2,male,18,0,0,United Kingdom,Southampton,,0
386,3,male,1,5,2,United Kingdom,Southampton,,0
387,2,female,36,0,0,United Kingdom,Southampton,9,1
388,3,male,,0,0,Ireland,Queenstown,,0
389,2,female,17,0,0,Switzerland,Cherbourg,12,1
390,1,male,36,1,2,United States of America,Southampton,C,1
391,3,male,21,0,0,Sweden,Southampton,A,1
392,3,male,28,2,0,Finland,Southampton,,0
393,1,female,23,1,0,United States of America,Cherbourg,6,1
394,3,female,24,0,2,Sweden,Southampton,13,1
395,3,male,22,0,0,Sweden,Southampton,,0
396,3,female,31,0,0,Sweden,Southampton,,0
397,2,male,46,0,0,United Kingdom,Southampton,,0
398,2,male,23,0,0,Canada,Southampton,,0
399,2,female,28,0,0,United States of America,Southampton,9,1
400,3,male,39,0,0,Finland,Southampton,9,1
401,3,male,26,0,0,United Kingdom,Southampton,,0
402,3,female,21,1,0,Finland,Southampton,,0
403,3,male,28,1,0,Finland,Southampton,,0
404,3,female,20,0,0,Croatia,Southampton,,0
405,2,male,34,1,0,United Kingdom,Southampton,,0
406,3,male,51,0,0,Sweden,Southampton,,0
407,2,male,3,1,1,United Kingdom,Southampton,4,1
408,3,male,21,0,0,Norway,Southampton,,0
409,3,female,,3,1,France,Southampton,,0
410,3,male,,0,0,Bulgaria,Southampton,,0
411,3,male,,0,0,Ireland,Queenstown,,0
412,1,female,33,1,0,United States of America,Southampton,14,1
413,2,male,,0,0,Ireland,Belfast,,0
414,3,male,44,0,0,Finland,Southampton,15,1
415,3,female,,0,0,Wales,Southampton,,0
416,2,female,34,1,1,United States of America,Southampton,10,1
417,2,female,18,0,2,Finland,Southampton,16,1
418,2,male,30,0,0,United Kingdom,Southampton,,0
419,3,female,10,0,2,Belgium,Southampton,,0
420,3,male,,0,0,Bulgaria,Cherbourg,,0
421,3,male,21,0,0,Ireland,Queenstown,,0
422,3,male,29,0,0,Germany,Southampton,,0
423,3,female,28,1,1,Sweden,Southampton,,0
424,3,male,18,1,1,Finland,Southampton,,0
425,3,male,,0,0,United Kingdom,Southampton,,0
426,2,female,28,1,0,United Kingdom,Southampton,14,1
427,2,female,19,0,0,United Kingdom,Southampton,11,1
428,3,male,,0,0,Ireland,Queenstown,,0
429,3,male,32,0,0,Poland,Southampton,9,1
430,1,male,28,0,0,Sweden,Southampton,D,1
431,3,female,,1,0,United Kingdom,Southampton,10,1
432,2,female,42,1,0,United Kingdom,Southampton,14,1
433,3,male,17,0,0,Finland,Southampton,,0
434,1,male,50,1,0,United States of America,Cherbourg,,0
435,1,female,14,1,2,United States of America,Southampton,4,1
436,3,female,21,2,2,United Kingdom,Southampton,,0
437,2,female,24,2,3,United Kingdom,Southampton,4,1
438,1,male,64,1,4,Canada,Southampton,,0
439,2,male,31,0,0,Sweden,Southampton,,0
440,2,female,45,1,1,United Kingdom,Southampton,14,1
441,3,male,20,0,0,Belgium,Southampton,,0
442,3,male,25,1,0,Sweden,Southampton,,0
443,2,female,28,0,0,Spain,Southampton,9,1
444,3,male,,0,0,Norway,Southampton,13,1
445,1,male,4,0,2,United States of America,Southampton,5,1
446,2,female,13,0,1,United Kingdom,Southampton,14,1
447,1,male,34,0,0,United States of America,Southampton,7,1
448,3,female,5,2,1,Lebanon,Cherbourg,C,1
449,1,male,52,0,0,Canada,Southampton,6,1
450,2,male,36,1,2,United Kingdom,Southampton,,0
451,3,male,,1,0,Norway,Southampton,,0
452,1,male,30,0,0,United States of America,Southampton,,0
453,1,male,49,1,0,France,Cherbourg,5,1
454,3,male,,0,0,United Kingdom,Southampton,,0
455,3,male,29,0,0,Croatia,Cherbourg,15,1
456,1,male,65,0,0,United States of America,Cherbourg,,0
457,1,female,,1,0,United States of America,Southampton,8,1
458,2,female,50,0,0,United States of America,Southampton,9,1
459,3,male,,0,0,Ireland,Queenstown,,0
460,1,male,48,0,0,United States of America,Southampton,3,1
461,3,male,34,0,0,United Kingdom,Southampton,,0
462,1,male,47,0,0,United Kingdom,Southampton,,0
463,2,male,48,0,0,Denmark,Southampton,,0
464,3,male,,0,0,United Kingdom,Southampton,,0
465,3,male,38,0,0,Portugal,Southampton,,0
466,2,male,,0,0,Ireland,Belfast,,0
467,1,male,56,0,0,United Kingdom,Southampton,,0
468,3,male,,0,0,Ireland,Queenstown,,0
469,3,female,1,2,1,Lebanon,Cherbourg,C,1
470,3,male,,0,0,United States of America,Southampton,A,0
471,3,male,38,0,0,Croatia,Southampton,,0
472,2,female,33,1,2,United Kingdom,Southampton,10,1
473,2,female,23,0,0,United States of America,Southampton,11,1
474,3,female,22,0,0,Finland,Southampton,,0
475,1,male,,0,0,United States of America,Southampton,,0
476,2,male,34,1,0,United States of America,Southampton,,0
477,3,male,29,1,0,United Kingdom,Southampton,,0
478,3,male,22,0,0,Sweden,Southampton,,0
479,3,female,2,0,1,Finland,Southampton,15,1
480,3,male,9,5,2,United Kingdom,Southampton,,0
481,2,male,,0,0,United Kingdom,Belfast,,0
482,3,male,50,0,0,United Kingdom,Southampton,,0
483,3,female,63,0,0,Finland,Southampton,15,1
484,1,male,25,1,0,United States of America,Cherbourg,7,1
485,3,female,,3,1,France,Southampton,,0
486,1,female,35,1,0,United States of America,Southampton,D,1
487,1,male,58,0,0,United States of America,Cherbourg,,0
488,3,male,30,0,0,United Kingdom,Southampton,,0
489,3,male,9,1,1,United Kingdom,Southampton,2,1
490,3,male,,1,0,Norway,Southampton,,0
491,3,male,21,0,0,South Africa,Southampton,,0
492,1,male,55,0,0,Canada,Southampton,,0
493,1,male,71,0,0,Argentina,Cherbourg,,0
494,3,male,21,0,0,United Kingdom,Southampton,,0
495,3,male,,0,0,Lebanon,Cherbourg,,0
496,1,female,54,1,0,United States of America,Cherbourg,4,1
497,3,male,,0,0,United Kingdom,Southampton,,0
498,1,female,25,1,2,Canada,Southampton,,0
499,3,male,24,0,0,Sweden,Southampton,,0
500,3,male,17,0,0,Croatia,Southampton,,0
501,3,female,21,0,0,Ireland,Queenstown,,0
502,3,female,,0,0,Ireland,Queenstown,,0
503,3,female,37,0,0,Finland,Southampton,,0
504,1,female,16,0,0,Canada,Southampton,8,1
505,1,male,18,1,0,Spain,Cherbourg,,0
506,2,female,33,0,2,United Kingdom,Southampton,11,1
507,1,male,,0,0,United States of America,Southampton,9,1
508,3,male,28,0,0,Norway,Southampton,,0
509,3,male,26,0,0,China,Southampton,14,1
510,3,male,29,0,0,Ireland,Queenstown,B,1
511,3,male,,0,0,United States of America,Southampton,,0
512,1,male,36,0,0,United States of America,Southampton,7,1
513,1,female,54,1,0,United States of America,Cherbourg,6,1
514,3,male,24,0,0,Bulgaria,Southampton,,0
515,1,male,47,0,0,United States of America,Southampton,,0
516,2,female,34,0,0,United States of America,Southampton,14,1
517,3,male,,0,0,Ireland,Queenstown,,0
518,2,female,36,1,0,United Kingdom,Southampton,11,1
519,3,male,32,0,0,Croatia,Southampton,,0
520,1,female,30,0,0,Canada,Southampton,3,1
521,3,male,22,0,0,Slovenia,Southampton,,0
522,3,male,,0,0,Lebanon,Cherbourg,,0
523,1,female,44,0,1,United States of America,Cherbourg,4,1
524,3,male,,0,0,Lebanon,Cherbourg,,0
525,3,male,40,0,0,Ireland,Queenstown,,0
526,2,female,50,0,0,United Kingdom,Southampton,13,1
527,1,male,,0,0,United States of America,Southampton,,0
528,3,male,39,0,0,United States of America,Southampton,,0
529,2,male,23,2,1,United States of America,Southampton,,0
530,2,female,2,1,1,United Kingdom,Southampton,11,1
531,3,male,,0,0,Lebanon,Cherbourg,,0
532,3,male,17,1,1,Lebanon,Cherbourg,,0
533,3,female,,0,2,Syria,Cherbourg,C,1
534,3,female,30,0,0,Croatia,Southampton,,0
